"No.","Time","Source","Destination","Protocol","Length","Info"
"62","8.113339","192.168.100.9","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=55796/62681, ttl=128 (reply in 63)"
"63","8.113417","192.168.100.14","192.168.100.9","ICMP","74","Echo (ping) reply    id=0x0001, seq=55796/62681, ttl=128 (request in 62)"
"64","8.468852","192.168.100.25","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=2292/62472, ttl=128 (reply in 65)"
"65","8.468932","192.168.100.14","192.168.100.25","ICMP","74","Echo (ping) reply    id=0x0001, seq=2292/62472, ttl=128 (request in 64)"
"66","8.660796","192.168.100.5","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=1121/24836, ttl=128 (reply in 67)"
"67","8.660872","192.168.100.14","192.168.100.5","ICMP","74","Echo (ping) reply    id=0x0001, seq=1121/24836, ttl=128 (request in 66)"
"68","9.127969","192.168.100.9","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=55798/63193, ttl=128 (reply in 69)"
"69","9.128072","192.168.100.14","192.168.100.9","ICMP","74","Echo (ping) reply    id=0x0001, seq=55798/63193, ttl=128 (request in 68)"
"70","9.484995","192.168.100.25","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=2293/62728, ttl=128 (reply in 71)"
"71","9.485074","192.168.100.14","192.168.100.25","ICMP","74","Echo (ping) reply    id=0x0001, seq=2293/62728, ttl=128 (request in 70)"
"72","9.679553","192.168.100.5","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=1122/25092, ttl=128 (reply in 73)"
"73","9.679627","192.168.100.14","192.168.100.5","ICMP","74","Echo (ping) reply    id=0x0001, seq=1122/25092, ttl=128 (request in 72)"
"74","10.139430","192.168.100.9","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=55800/63705, ttl=128 (reply in 75)"
"75","10.139508","192.168.100.14","192.168.100.9","ICMP","74","Echo (ping) reply    id=0x0001, seq=55800/63705, ttl=128 (request in 74)"
"76","10.300133","192.168.100.14","104.27.187.129","TCP","55","57467  >  443 [ACK] Seq=1 Ack=1 Win=254 Len=1 [TCP segment of a reassembled PDU]"
"77","10.328005","104.27.187.129","192.168.100.14","TCP","66","443  >  57467 [ACK] Seq=1 Ack=2 Win=30 Len=0 SLE=1 SRE=2"
"78","10.499381","192.168.100.14","104.16.35.63","TCP","55","57461  >  443 [ACK] Seq=1 Ack=1 Win=256 Len=1 [TCP segment of a reassembled PDU]"
"79","10.500814","192.168.100.25","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=2294/62984, ttl=128 (reply in 80)"
"80","10.500892","192.168.100.14","192.168.100.25","ICMP","74","Echo (ping) reply    id=0x0001, seq=2294/62984, ttl=128 (request in 79)"
"81","10.516583","104.16.35.63","192.168.100.14","TCP","66","443  >  57461 [ACK] Seq=1 Ack=2 Win=31 Len=0 SLE=1 SRE=2"
"82","10.703685","192.168.100.5","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=1123/25348, ttl=128 (reply in 83)"
"83","10.703760","192.168.100.14","192.168.100.5","ICMP","74","Echo (ping) reply    id=0x0001, seq=1123/25348, ttl=128 (request in 82)"
"84","10.717601","192.168.100.14","104.16.36.63","TCP","55","57465  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1 [TCP segment of a reassembled PDU]"
"85","10.734038","104.16.36.63","192.168.100.14","TCP","66","443  >  57465 [ACK] Seq=1 Ack=2 Win=31 Len=0 SLE=1 SRE=2"
"86","11.153364","192.168.100.9","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=55802/64217, ttl=128 (reply in 87)"
"87","11.153441","192.168.100.14","192.168.100.9","ICMP","74","Echo (ping) reply    id=0x0001, seq=55802/64217, ttl=128 (request in 86)"
"88","11.400368","192.168.100.14","104.19.196.151","TCP","55","57472  >  443 [ACK] Seq=1 Ack=1 Win=257 Len=1 [TCP segment of a reassembled PDU]"
"89","11.464347","104.19.196.151","192.168.100.14","TCP","66","443  >  57472 [ACK] Seq=1 Ack=2 Win=32 Len=0 SLE=1 SRE=2"
"90","11.520504","192.168.100.14","104.18.35.59","TCP","55","57459  >  443 [ACK] Seq=1 Ack=1 Win=257 Len=1 [TCP segment of a reassembled PDU]"
"91","11.523302","192.168.100.25","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=2295/63240, ttl=128 (reply in 92)"
"92","11.523384","192.168.100.14","192.168.100.25","ICMP","74","Echo (ping) reply    id=0x0001, seq=2295/63240, ttl=128 (request in 91)"
"93","11.548231","104.18.35.59","192.168.100.14","TCP","66","443  >  57459 [ACK] Seq=1 Ack=2 Win=31 Len=0 SLE=1 SRE=2"
"94","11.660659","192.168.100.14","104.17.50.107","TCP","55","57456  >  443 [ACK] Seq=1 Ack=1 Win=257 Len=1 [TCP segment of a reassembled PDU]"
"95","11.677212","104.17.50.107","192.168.100.14","TCP","66","443  >  57456 [ACK] Seq=1 Ack=2 Win=32 Len=0 SLE=1 SRE=2"
"96","11.723846","192.168.100.5","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=1124/25604, ttl=128 (reply in 97)"
"97","11.723925","192.168.100.14","192.168.100.5","ICMP","74","Echo (ping) reply    id=0x0001, seq=1124/25604, ttl=128 (request in 96)"
"98","11.897936","192.168.100.14","50.23.131.235","TCP","55","57458  >  443 [ACK] Seq=1 Ack=1 Win=254 Len=1 [TCP segment of a reassembled PDU]"
"99","12.020112","192.168.100.14","104.17.173.56","TCP","55","57481  >  443 [ACK] Seq=1 Ack=1 Win=251 Len=1 [TCP segment of a reassembled PDU]"
"100","12.077645","104.17.173.56","192.168.100.14","TCP","66","443  >  57481 [ACK] Seq=1 Ack=2 Win=37 Len=0 SLE=1 SRE=2"
"101","12.086304","50.23.131.235","192.168.100.14","TCP","66","443  >  57458 [ACK] Seq=1 Ack=2 Win=245 Len=0 SLE=1 SRE=2"
"102","12.170050","192.168.100.9","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=55804/64729, ttl=128 (reply in 103)"
"103","12.170142","192.168.100.14","192.168.100.9","ICMP","74","Echo (ping) reply    id=0x0001, seq=55804/64729, ttl=128 (request in 102)"
"104","12.234315","192.168.100.14","104.27.161.222","TCP","55","57486  >  443 [ACK] Seq=1 Ack=1 Win=257 Len=1 [TCP segment of a reassembled PDU]"
"105","12.272193","104.27.161.222","192.168.100.14","TCP","66","443  >  57486 [ACK] Seq=1 Ack=2 Win=31 Len=0 SLE=1 SRE=2"
"106","12.528635","192.168.100.14","104.24.99.248","TCP","55","57470  >  443 [ACK] Seq=1 Ack=1 Win=831 Len=1 [TCP segment of a reassembled PDU]"
"107","12.533588","192.168.100.25","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=2296/63496, ttl=128 (reply in 108)"
"108","12.533666","192.168.100.14","192.168.100.25","ICMP","74","Echo (ping) reply    id=0x0001, seq=2296/63496, ttl=128 (request in 107)"
"109","12.556462","104.24.99.248","192.168.100.14","TCP","66","443  >  57470 [ACK] Seq=1 Ack=2 Win=57 Len=0 SLE=1 SRE=2"
"110","12.739394","192.168.100.5","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=1125/25860, ttl=128 (reply in 111)"
"111","12.739471","192.168.100.14","192.168.100.5","ICMP","74","Echo (ping) reply    id=0x0001, seq=1125/25860, ttl=128 (request in 110)"
"112","13.184940","192.168.100.9","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=55806/65241, ttl=128 (reply in 113)"
"113","13.185017","192.168.100.14","192.168.100.9","ICMP","74","Echo (ping) reply    id=0x0001, seq=55806/65241, ttl=128 (request in 112)"
"114","13.552495","192.168.100.25","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=2297/63752, ttl=128 (reply in 115)"
"115","13.552572","192.168.100.14","192.168.100.25","ICMP","74","Echo (ping) reply    id=0x0001, seq=2297/63752, ttl=128 (request in 114)"
"116","13.691873","192.168.100.14","104.28.5.131","TCP","55","57491  >  443 [ACK] Seq=1 Ack=1 Win=254 Len=1 [TCP segment of a reassembled PDU]"
"117","13.720016","104.28.5.131","192.168.100.14","TCP","66","443  >  57491 [ACK] Seq=1 Ack=2 Win=30 Len=0 SLE=1 SRE=2"
"118","13.741002","192.168.100.14","104.28.5.131","TCP","55","57490  >  443 [ACK] Seq=1 Ack=1 Win=257 Len=1 [TCP segment of a reassembled PDU]"
"119","13.756916","192.168.100.5","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=1126/26116, ttl=128 (reply in 120)"
"120","13.757001","192.168.100.14","192.168.100.5","ICMP","74","Echo (ping) reply    id=0x0001, seq=1126/26116, ttl=128 (request in 119)"
"121","13.768735","104.28.5.131","192.168.100.14","TCP","66","443  >  57490 [ACK] Seq=1 Ack=2 Win=31 Len=0 SLE=1 SRE=2"
"122","13.961254","192.168.100.14","104.17.49.107","TCP","55","57463  >  443 [ACK] Seq=1 Ack=1 Win=611 Len=1 [TCP segment of a reassembled PDU]"
"123","13.977302","104.17.49.107","192.168.100.14","TCP","66","443  >  57463 [ACK] Seq=1 Ack=2 Win=46 Len=0 SLE=1 SRE=2"
"124","14.199277","192.168.100.9","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=55808/218, ttl=128 (reply in 125)"
"125","14.199354","192.168.100.14","192.168.100.9","ICMP","74","Echo (ping) reply    id=0x0001, seq=55808/218, ttl=128 (request in 124)"
"126","14.293493","HuaweiTe_26:8f:b2","Broadcast","ARP","60","Who has 192.168.100.2? Tell 192.168.100.1"
"127","14.351603","192.168.100.14","104.24.99.248","TCP","55","57475  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1 [TCP segment of a reassembled PDU]"
"128","14.379290","104.24.99.248","192.168.100.14","TCP","66","443  >  57475 [ACK] Seq=1 Ack=2 Win=31 Len=0 SLE=1 SRE=2"
"129","14.613017","192.168.100.25","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=2298/64008, ttl=128 (reply in 130)"
"130","14.613094","192.168.100.14","192.168.100.25","ICMP","74","Echo (ping) reply    id=0x0001, seq=2298/64008, ttl=128 (request in 129)"
"131","14.773260","192.168.100.5","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=1127/26372, ttl=128 (reply in 132)"
"132","14.773336","192.168.100.14","192.168.100.5","ICMP","74","Echo (ping) reply    id=0x0001, seq=1127/26372, ttl=128 (request in 131)"
"133","14.932366","192.168.100.14","104.27.187.129","TCP","55","57466  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1 [TCP segment of a reassembled PDU]"
"134","14.959406","104.27.187.129","192.168.100.14","TCP","66","443  >  57466 [ACK] Seq=1 Ack=2 Win=32 Len=0 SLE=1 SRE=2"
"135","15.214045","192.168.100.9","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=55810/730, ttl=128 (reply in 136)"
"136","15.214123","192.168.100.14","192.168.100.9","ICMP","74","Echo (ping) reply    id=0x0001, seq=55810/730, ttl=128 (request in 135)"
"137","15.317534","HuaweiTe_26:8f:b2","Broadcast","ARP","60","Who has 192.168.100.2? Tell 192.168.100.1"
"138","15.577783","192.168.100.25","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=2299/64264, ttl=128 (reply in 139)"
"139","15.577861","192.168.100.14","192.168.100.25","ICMP","74","Echo (ping) reply    id=0x0001, seq=2299/64264, ttl=128 (request in 138)"
"140","15.794699","192.168.100.5","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=1128/26628, ttl=128 (reply in 141)"
"141","15.794776","192.168.100.14","192.168.100.5","ICMP","74","Echo (ping) reply    id=0x0001, seq=1128/26628, ttl=128 (request in 140)"
"142","16.080938","Tp-LinkT_07:e3:e2","Azurewav_44:a4:d3","ARP","42","Who has 192.168.100.14? Tell 192.168.100.9"
"143","16.080954","Azurewav_44:a4:d3","Tp-LinkT_07:e3:e2","ARP","42","192.168.100.14 is at 80:a5:89:44:a4:d3"
"144","16.227325","192.168.100.9","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=55812/1242, ttl=128 (reply in 145)"
"145","16.227401","192.168.100.14","192.168.100.9","ICMP","74","Echo (ping) reply    id=0x0001, seq=55812/1242, ttl=128 (request in 144)"
"146","16.340963","HuaweiTe_26:8f:b2","Broadcast","ARP","60","Who has 192.168.100.2? Tell 192.168.100.1"
"147","16.448020","Azurewav_44:a4:d3","Azurewav_c9:65:99","ARP","42","Who has 192.168.100.5? Tell 192.168.100.14"
"148","16.452091","Azurewav_c9:65:99","Azurewav_44:a4:d3","ARP","42","192.168.100.5 is at 74:c6:3b:c9:65:99"
"149","16.599022","192.168.100.25","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=2300/64520, ttl=128 (reply in 150)"
"150","16.599113","192.168.100.14","192.168.100.25","ICMP","74","Echo (ping) reply    id=0x0001, seq=2300/64520, ttl=128 (request in 149)"
"151","16.809257","192.168.100.5","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=1129/26884, ttl=128 (reply in 152)"
"152","16.809348","192.168.100.14","192.168.100.5","ICMP","74","Echo (ping) reply    id=0x0001, seq=1129/26884, ttl=128 (request in 151)"
"153","17.062739","192.168.100.14","122.11.128.50","UDP","114","50251  >  19900 Len=72"
"154","17.241968","192.168.100.9","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=55814/1754, ttl=128 (reply in 155)"
"155","17.242043","192.168.100.14","192.168.100.9","ICMP","74","Echo (ping) reply    id=0x0001, seq=55814/1754, ttl=128 (request in 154)"
"156","17.613976","192.168.100.25","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=2301/64776, ttl=128 (reply in 157)"
"157","17.614051","192.168.100.14","192.168.100.25","ICMP","74","Echo (ping) reply    id=0x0001, seq=2301/64776, ttl=128 (request in 156)"
"158","17.831148","192.168.100.5","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=1130/27140, ttl=128 (reply in 159)"
"159","17.831227","192.168.100.14","192.168.100.5","ICMP","74","Echo (ping) reply    id=0x0001, seq=1130/27140, ttl=128 (request in 158)"
"160","18.253416","192.168.100.9","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=55816/2266, ttl=128 (reply in 161)"
"161","18.253492","192.168.100.14","192.168.100.9","ICMP","74","Echo (ping) reply    id=0x0001, seq=55816/2266, ttl=128 (request in 160)"
"162","18.621301","192.168.100.25","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=2302/65032, ttl=128 (reply in 163)"
"163","18.621394","192.168.100.14","192.168.100.25","ICMP","74","Echo (ping) reply    id=0x0001, seq=2302/65032, ttl=128 (request in 162)"
"164","18.846779","192.168.100.5","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=1131/27396, ttl=128 (reply in 165)"
"165","18.846857","192.168.100.14","192.168.100.5","ICMP","74","Echo (ping) reply    id=0x0001, seq=1131/27396, ttl=128 (request in 164)"
"166","19.266742","192.168.100.9","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=55818/2778, ttl=128 (reply in 167)"
"167","19.266816","192.168.100.14","192.168.100.9","ICMP","74","Echo (ping) reply    id=0x0001, seq=55818/2778, ttl=128 (request in 166)"
"168","19.633112","192.168.100.25","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=2303/65288, ttl=128 (reply in 169)"
"169","19.633186","192.168.100.14","192.168.100.25","ICMP","74","Echo (ping) reply    id=0x0001, seq=2303/65288, ttl=128 (request in 168)"
"170","19.862310","192.168.100.5","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=1132/27652, ttl=128 (reply in 171)"
"171","19.862386","192.168.100.14","192.168.100.5","ICMP","74","Echo (ping) reply    id=0x0001, seq=1132/27652, ttl=128 (request in 170)"
"172","20.280983","192.168.100.9","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=55820/3290, ttl=128 (reply in 173)"
"173","20.281058","192.168.100.14","192.168.100.9","ICMP","74","Echo (ping) reply    id=0x0001, seq=55820/3290, ttl=128 (request in 172)"
"174","20.437534","HuaweiTe_26:8f:b2","Broadcast","ARP","60","Who has 192.168.100.19? Tell 192.168.100.1"
"175","20.641862","192.168.100.25","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=2304/9, ttl=128 (reply in 176)"
"176","20.641945","192.168.100.14","192.168.100.25","ICMP","74","Echo (ping) reply    id=0x0001, seq=2304/9, ttl=128 (request in 175)"
"177","20.880347","192.168.100.5","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=1133/27908, ttl=128 (reply in 178)"
"178","20.880424","192.168.100.14","192.168.100.5","ICMP","74","Echo (ping) reply    id=0x0001, seq=1133/27908, ttl=128 (request in 177)"
"179","21.294158","192.168.100.9","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=55822/3802, ttl=128 (reply in 180)"
"180","21.294234","192.168.100.14","192.168.100.9","ICMP","74","Echo (ping) reply    id=0x0001, seq=55822/3802, ttl=128 (request in 179)"
"181","21.461580","HuaweiTe_26:8f:b2","Broadcast","ARP","60","Who has 192.168.100.19? Tell 192.168.100.1"
"182","21.661448","192.168.100.25","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=2305/265, ttl=128 (reply in 183)"
"183","21.661524","192.168.100.14","192.168.100.25","ICMP","74","Echo (ping) reply    id=0x0001, seq=2305/265, ttl=128 (request in 182)"
"184","21.907236","192.168.100.5","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=1134/28164, ttl=128 (reply in 185)"
"185","21.907312","192.168.100.14","192.168.100.5","ICMP","74","Echo (ping) reply    id=0x0001, seq=1134/28164, ttl=128 (request in 184)"
"186","22.307034","192.168.100.9","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=55824/4314, ttl=128 (reply in 187)"
"187","22.307110","192.168.100.14","192.168.100.9","ICMP","74","Echo (ping) reply    id=0x0001, seq=55824/4314, ttl=128 (request in 186)"
"188","22.485604","HuaweiTe_26:8f:b2","Broadcast","ARP","60","Who has 192.168.100.19? Tell 192.168.100.1"
"189","22.672932","192.168.100.25","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=2306/521, ttl=128 (reply in 190)"
"190","22.673021","192.168.100.14","192.168.100.25","ICMP","74","Echo (ping) reply    id=0x0001, seq=2306/521, ttl=128 (request in 189)"
"191","22.922569","192.168.100.5","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=1135/28420, ttl=128 (reply in 192)"
"192","22.922644","192.168.100.14","192.168.100.5","ICMP","74","Echo (ping) reply    id=0x0001, seq=1135/28420, ttl=128 (request in 191)"
"193","23.323075","192.168.100.9","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=55826/4826, ttl=128 (reply in 194)"
"194","23.323150","192.168.100.14","192.168.100.9","ICMP","74","Echo (ping) reply    id=0x0001, seq=55826/4826, ttl=128 (request in 193)"
"195","23.689483","192.168.100.25","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=2307/777, ttl=128 (reply in 196)"
"196","23.689560","192.168.100.14","192.168.100.25","ICMP","74","Echo (ping) reply    id=0x0001, seq=2307/777, ttl=128 (request in 195)"
"197","23.986545","192.168.100.5","192.168.100.14","ICMP","74","Echo (ping) request  id=0x0001, seq=1136/28676, ttl=128 (reply in 198)"
